Date,Open,High,Low,Close,Volume
2016-10-14,133500.0,135000.0,133000.0,133000.0,385561.0
2016-10-17,134500.0,136500.0,133000.0,133000.0,552827.0
2016-10-18,133500.0,135500.0,132500.0,134500.0,357363.0
2016-10-19,134500.0,135500.0,132500.0,133000.0,474445.0
2016-10-20,133500.0,134000.0,131500.0,132000.0,411425.0
2016-10-21,132500.0,135000.0,132000.0,133500.0,375157.0
2016-10-24,134500.0,134500.0,133500.0,134500.0,256889.0
2016-10-25,135000.0,139500.0,134500.0,138000.0,863431.0
2016-10-26,137500.0,138500.0,135000.0,137500.0,551856.0
2016-10-27,139000.0,139500.0,135500.0,138000.0,503571.0
2016-10-28,138000.0,141500.0,137500.0,140500.0,708752.0
2016-10-31,139000.0,141000.0,139000.0,140000.0,394472.0
2016-11-01,141000.0,141500.0,140000.0,141500.0,436941.0
2016-11-02,141000.0,141500.0,139500.0,139500.0,655976.0
2016-11-03,139500.0,140000.0,136000.0,136500.0,520972.0
2016-11-04,136500.0,137000.0,135500.0,136000.0,345493.0
2016-11-07,137500.0,138000.0,136000.0,137000.0,388228.0
2016-11-08,137500.0,139500.0,137000.0,138500.0,341446.0
2016-11-09,138000.0,140000.0,130500.0,134000.0,1054746.0
2016-11-10,135000.0,135000.0,129000.0,129000.0,1253550.0
2016-11-11,130000.0,132000.0,130000.0,131500.0,571291.0
2016-11-14,132000.0,134000.0,131000.0,132000.0,369913.0
2016-11-15,131500.0,132000.0,129500.0,130500.0,416685.0
2016-11-16,130500.0,133500.0,130000.0,131000.0,379475.0
2016-11-17,131000.0,133000.0,131000.0,132000.0,217101.0
2016-11-18,131500.0,132000.0,129500.0,129500.0,282286.0
2016-11-21,130000.0,133500.0,129500.0,133500.0,392922.0
2016-11-22,133500.0,134500.0,132500.0,133500.0,366844.0
2016-11-23,134500.0,135000.0,132500.0,134000.0,292727.0
2016-11-24,133500.0,136000.0,133000.0,135000.0,340767.0
2016-11-25,135500.0,136000.0,134500.0,136000.0,180033.0
2016-11-28,135000.0,136000.0,133500.0,135000.0,256341.0
2016-11-29,133000.0,135500.0,133000.0,134500.0,312216.0
2016-11-30,133500.0,134500.0,132500.0,133000.0,1188767.0
2016-12-01,133000.0,135500.0,132000.0,132000.0,478362.0
2016-12-02,134000.0,136000.0,133000.0,133500.0,403575.0
2016-12-05,134500.0,135500.0,133000.0,134000.0,244209.0
2016-12-06,135500.0,137000.0,135000.0,136500.0,374760.0
2016-12-07,138000.0,138000.0,136500.0,136500.0,279131.0
2016-12-08,138500.0,142000.0,138000.0,142000.0,889649.0
2016-12-09,142000.0,145000.0,141000.0,144000.0,647418.0
2016-12-12,146000.0,148000.0,143500.0,144500.0,378077.0
2016-12-13,144500.0,145000.0,142500.0,145000.0,283933.0
2016-12-14,144500.0,145000.0,142000.0,143500.0,261384.0
2016-12-15,142000.0,143000.0,141000.0,142000.0,285737.0
2016-12-16,141000.0,142000.0,139000.0,139500.0,523767.0
2016-12-19,140000.0,142500.0,139500.0,142000.0,293868.0
2016-12-20,141500.0,144000.0,141500.0,143500.0,399511.0
2016-12-21,144500.0,144500.0,142500.0,143500.0,310188.0
2016-12-22,143000.0,143000.0,141000.0,142000.0,334338.0
2016-12-23,143000.0,144000.0,142000.0,144000.0,357914.0
2016-12-26,143500.0,145000.0,143500.0,144500.0,206099.0
2016-12-27,144500.0,145000.0,144000.0,144500.0,337224.0
2016-12-28,142500.0,144000.0,141500.0,143500.0,377265.0
2016-12-29,142500.0,146000.0,142000.0,146000.0,381283.0
2017-01-02,146000.0,150500.0,145500.0,150000.0,545854.0
2017-01-03,151000.0,154000.0,150000.0,153000.0,723246.0
2017-01-04,152500.0,155000.0,152000.0,154000.0,601826.0
2017-01-05,154000.0,154500.0,152000.0,153500.0,391604.0
2017-01-06,152000.0,153000.0,149500.0,151000.0,366091.0
2017-01-09,151000.0,151500.0,149500.0,150500.0,325146.0
2017-01-10,150500.0,153000.0,150500.0,152000.0,411333.0
2017-01-11,150500.0,150500.0,147500.0,148500.0,675973.0
2017-01-12,148000.0,151000.0,147500.0,148000.0,433867.0
2017-01-13,149000.0,150000.0,148500.0,149000.0,293211.0
2017-01-16,148500.0,151000.0,148500.0,150500.0,316413.0
2017-01-17,150000.0,154000.0,149500.0,153500.0,487662.0
2017-01-18,153000.0,155500.0,151000.0,154000.0,395088.0
2017-01-19,153000.0,153500.0,151000.0,152000.0,255111.0
2017-01-20,150500.0,153500.0,150000.0,153000.0,310228.0
2017-01-23,151500.0,152000.0,148500.0,149000.0,424036.0
2017-01-24,149500.0,149500.0,145500.0,146500.0,518186.0
2017-01-25,146500.0,147500.0,141500.0,142000.0,749465.0
2017-01-26,143500.0,143500.0,139500.0,142500.0,632413.0
2017-01-31,141500.0,142500.0,139000.0,139500.0,574213.0
2017-02-01,140000.0,141000.0,139000.0,139500.0,446549.0
2017-02-02,140000.0,140000.0,135500.0,136000.0,610731.0
2017-02-03,136500.0,139000.0,136000.0,137500.0,453051.0
2017-02-06,139000.0,139500.0,136000.0,136500.0,293891.0
2017-02-07,138000.0,140000.0,137500.0,139000.0,395508.0
2017-02-08,138500.0,139500.0,137000.0,139000.0,415346.0
2017-02-09,139500.0,141000.0,137500.0,140000.0,513611.0
2017-02-10,141000.0,141500.0,139000.0,141000.0,330000.0
2017-02-13,141500.0,141500.0,139000.0,139500.0,320997.0
2017-02-14,140000.0,140500.0,139500.0,140000.0,295126.0
2017-02-15,141500.0,146500.0,141500.0,145500.0,682399.0
2017-02-16,146500.0,151500.0,146500.0,150500.0,991329.0
2017-02-17,149500.0,151000.0,148000.0,150500.0,484244.0
2017-02-20,149500.0,151000.0,149500.0,150000.0,239916.0
2017-02-21,150000.0,151500.0,149000.0,151000.0,324845.0
2017-02-22,150000.0,151000.0,147000.0,149500.0,423978.0
2017-02-23,150500.0,150500.0,145000.0,146000.0,790326.0
2017-02-24,147000.0,148500.0,146500.0,148000.0,248236.0
2017-02-27,148500.0,149000.0,146500.0,148500.0,183801.0
2017-02-28,148500.0,150000.0,146500.0,149500.0,476960.0
2017-03-02,149000.0,150500.0,148500.0,148500.0,660227.0
2017-03-03,147000.0,148000.0,141000.0,142000.0,774281.0
2017-03-06,141500.0,145000.0,140000.0,145000.0,568168.0
2017-03-07,143000.0,146000.0,143000.0,144000.0,361237.0
2017-03-08,144000.0,144500.0,141500.0,144500.0,430524.0
2017-03-09,144500.0,145500.0,143500.0,145000.0,516356.0
2017-03-10,145000.0,146500.0,143500.0,146000.0,418788.0
2017-03-13,145500.0,147000.0,145000.0,146000.0,346033.0
2017-03-14,147000.0,149500.0,146500.0,149000.0,402984.0
2017-03-15,148500.0,149500.0,147500.0,149500.0,415972.0
2017-03-16,151500.0,152500.0,149000.0,151500.0,511511.0
2017-03-17,152500.0,152500.0,150000.0,151500.0,384871.0
2017-03-20,152500.0,157000.0,151500.0,156500.0,753898.0
2017-03-21,158000.0,171000.0,157500.0,170000.0,2100147.0
2017-03-22,167500.0,170500.0,165500.0,170000.0,1095061.0
2017-03-23,168500.0,169000.0,165000.0,165000.0,786599.0
2017-03-24,164000.0,167000.0,162000.0,164000.0,619369.0
2017-03-27,162000.0,163000.0,159000.0,162000.0,556569.0
2017-03-28,162000.0,163000.0,158500.0,160000.0,528384.0
2017-03-29,159500.0,160500.0,155500.0,156000.0,594310.0
2017-03-30,156500.0,160000.0,156500.0,158500.0,541928.0
2017-03-31,159500.0,160500.0,156000.0,157500.0,518427.0
2017-04-03,156500.0,157000.0,153000.0,156500.0,568863.0
