Date,Open,High,Low,Close,Volume
20160602,138500.0,139000.0,136500.0,138000.0,419054.0
20160603,138000.0,139500.0,137500.0,138500.0,352778.0
20160607,138500.0,139500.0,137500.0,139500.0,608452.0
20160608,138500.0,141500.0,138500.0,139500.0,598656.0
20160609,139500.0,140500.0,137500.0,139000.0,578177.0
20160610,138500.0,140000.0,138000.0,139000.0,350588.0
20160613,138000.0,138500.0,135500.0,135500.0,476958.0
20160614,135500.0,138500.0,135000.0,138500.0,431039.0
20160615,138000.0,139500.0,135000.0,135500.0,409607.0
20160616,135500.0,136000.0,133500.0,134500.0,399199.0
20160617,136000.0,136500.0,133500.0,134500.0,328695.0
20160620,136000.0,138500.0,135500.0,136500.0,305307.0
20160621,136500.0,139000.0,135500.0,138000.0,353879.0
20160622,138500.0,141500.0,138500.0,140000.0,413267.0
20160623,140500.0,141500.0,140000.0,141000.0,273960.0
20160624,140500.0,142000.0,134500.0,139500.0,901574.0
20160627,141000.0,144000.0,139500.0,141500.0,1031506.0
20160628,141500.0,142000.0,138500.0,139000.0,570526.0
20160629,140000.0,140000.0,137500.0,139000.0,436045.0
20160630,138000.0,138500.0,135500.0,135500.0,2700499.0
20160701,136500.0,138000.0,136000.0,137000.0,388387.0
20160704,138000.0,139500.0,137000.0,137000.0,518981.0
20160705,136500.0,137000.0,134500.0,135000.0,389267.0
20160706,134000.0,134500.0,129000.0,130000.0,1098353.0
20160707,131500.0,132500.0,130500.0,131000.0,351312.0
20160708,131000.0,133000.0,129000.0,130500.0,472095.0
20160711,130500.0,132000.0,130500.0,131000.0,395952.0
20160712,131500.0,133000.0,131000.0,132000.0,401323.0
20160713,133000.0,135500.0,132500.0,135500.0,567236.0
20160714,134000.0,134500.0,131000.0,131500.0,688220.0
20160715,132000.0,134000.0,132000.0,133000.0,608594.0
20160718,133000.0,134000.0,131000.0,132000.0,417748.0
20160719,131500.0,132000.0,130000.0,130000.0,630163.0
20160720,129500.0,131000.0,129000.0,129500.0,513880.0
20160721,130000.0,131000.0,128500.0,130000.0,459440.0
20160722,130000.0,130500.0,129000.0,129000.0,364418.0
20160725,129500.0,136000.0,129500.0,135500.0,1182857.0
20160726,135000.0,139500.0,134000.0,136000.0,1125762.0
20160727,137000.0,137500.0,135000.0,137000.0,450182.0
20160728,137500.0,138000.0,135000.0,136000.0,451570.0
20160729,135000.0,136000.0,132000.0,132000.0,698032.0
20160801,132500.0,136000.0,132500.0,135500.0,510753.0
20160802,135500.0,135500.0,133000.0,134000.0,383193.0
20160803,133000.0,134000.0,130500.0,132000.0,393748.0
20160804,132500.0,133000.0,129500.0,130500.0,552854.0
20160805,130500.0,133000.0,130500.0,133000.0,432472.0
20160808,134000.0,134000.0,132000.0,133000.0,367241.0
20160809,135000.0,137000.0,134500.0,136500.0,590729.0
20160810,135500.0,137000.0,134000.0,134000.0,495316.0
20160811,134000.0,135000.0,133500.0,134500.0,340296.0
20160812,135000.0,136000.0,134500.0,136000.0,441448.0
20160816,136000.0,137000.0,133000.0,133000.0,564040.0
20160817,133500.0,135000.0,133000.0,135000.0,456621.0
20160818,134500.0,135000.0,132000.0,132500.0,501557.0
20160819,133000.0,134000.0,132000.0,132500.0,375138.0
20160822,132500.0,133000.0,131000.0,132000.0,400250.0
20160823,133000.0,134500.0,132000.0,132500.0,421660.0
20160824,132000.0,135500.0,131500.0,135500.0,725511.0
20160825,136000.0,138000.0,134000.0,136500.0,880226.0
20160826,136500.0,137000.0,135000.0,135500.0,426273.0
20160829,134000.0,134500.0,133000.0,134000.0,328229.0
20160830,133500.0,135000.0,132500.0,132500.0,331306.0
20160831,132000.0,133500.0,131000.0,133000.0,621524.0
20160901,133000.0,133500.0,131500.0,131500.0,572941.0
20160902,132500.0,136500.0,132000.0,135000.0,1129376.0
20160905,136000.0,139000.0,136000.0,139000.0,681920.0
20160906,138500.0,140000.0,138000.0,139500.0,455216.0
20160907,139500.0,140500.0,138000.0,139000.0,515978.0
20160908,139000.0,140000.0,136500.0,139000.0,604332.0
20160909,138000.0,140000.0,137500.0,139500.0,430914.0
20160912,138500.0,139500.0,137500.0,138500.0,447847.0
20160913,140000.0,140500.0,138000.0,138500.0,560421.0
20160919,137000.0,139500.0,136000.0,137000.0,536712.0
20160920,137000.0,139500.0,136500.0,138500.0,517081.0
20160921,137500.0,138500.0,136500.0,138000.0,464658.0
20160922,138000.0,139500.0,137500.0,138000.0,360424.0
20160923,139500.0,142000.0,139000.0,142000.0,595938.0
20160926,140500.0,141500.0,139000.0,140500.0,444564.0
20160927,140000.0,142000.0,138500.0,141500.0,451975.0
20160928,141000.0,141500.0,138000.0,138500.0,513300.0
20160929,138500.0,139500.0,138000.0,139500.0,473726.0
20160930,138500.0,139500.0,135000.0,135500.0,617732.0
20161004,138500.0,141000.0,137500.0,139000.0,707562.0
20161005,137500.0,140500.0,136500.0,140000.0,549606.0
20161006,139000.0,140000.0,138500.0,139000.0,271808.0
20161007,138500.0,139000.0,135500.0,136500.0,449894.0
20161010,134000.0,135000.0,131000.0,133500.0,687120.0
20161011,135000.0,135500.0,133500.0,134500.0,355273.0
20161012,134500.0,137000.0,133500.0,136500.0,418529.0
20161013,136500.0,137000.0,133500.0,134000.0,444173.0
20161014,133500.0,135000.0,133000.0,133000.0,385561.0
20161017,134500.0,136500.0,133000.0,133000.0,552827.0
20161018,133500.0,135500.0,132500.0,134500.0,357363.0
20161019,134500.0,135500.0,132500.0,133000.0,474445.0
20161020,133500.0,134000.0,131500.0,132000.0,411425.0
20161021,132500.0,135000.0,132000.0,133500.0,375157.0
20161024,134500.0,134500.0,133500.0,134500.0,256889.0
20161025,135000.0,139500.0,134500.0,138000.0,863431.0
20161026,137500.0,138500.0,135000.0,137500.0,551856.0
20161027,139000.0,139500.0,135500.0,138000.0,503571.0
20161028,138000.0,141500.0,137500.0,140500.0,708752.0
20161031,139000.0,141000.0,139000.0,140000.0,394472.0
20161101,141000.0,141500.0,140000.0,141500.0,436941.0
20161102,141000.0,141500.0,139500.0,139500.0,655976.0
20161103,139500.0,140000.0,136000.0,136500.0,520972.0
20161104,136500.0,137000.0,135500.0,136000.0,345493.0
20161107,137500.0,138000.0,136000.0,137000.0,388228.0
20161108,137500.0,139500.0,137000.0,138500.0,341446.0
20161109,138000.0,140000.0,130500.0,134000.0,1054746.0
20161110,135000.0,135000.0,129000.0,129000.0,1253550.0
20161111,130000.0,132000.0,130000.0,131500.0,571291.0
20161114,132000.0,134000.0,131000.0,132000.0,369913.0
20161115,131500.0,132000.0,129500.0,130500.0,416685.0
20161116,130500.0,133500.0,130000.0,131000.0,379475.0
20161117,131000.0,133000.0,131000.0,132000.0,217101.0
20161118,131500.0,132000.0,129500.0,129500.0,282286.0
20161121,130000.0,133500.0,129500.0,133500.0,392922.0
20161122,133500.0,134500.0,132500.0,133500.0,366844.0
20161123,134500.0,135000.0,132500.0,134000.0,292727.0
20161124,133500.0,136000.0,133000.0,135000.0,340767.0
20161125,135500.0,136000.0,134500.0,136000.0,180033.0
20161128,135000.0,136000.0,133500.0,135000.0,256341.0
20161129,133000.0,135500.0,133000.0,134500.0,312216.0
20161130,133500.0,134500.0,132500.0,133000.0,1188767.0
20161201,133000.0,135500.0,132000.0,132000.0,478362.0
20161202,134000.0,136000.0,133000.0,133500.0,403575.0
20161205,134500.0,135500.0,133000.0,134000.0,244209.0
20161206,135500.0,137000.0,135000.0,136500.0,374760.0
20161207,138000.0,138000.0,136500.0,136500.0,279131.0
20161208,138500.0,142000.0,138000.0,142000.0,889649.0
20161209,142000.0,145000.0,141000.0,144000.0,647418.0
20161212,146000.0,148000.0,143500.0,144500.0,378077.0
20161213,144500.0,145000.0,142500.0,145000.0,283933.0
20161214,144500.0,145000.0,142000.0,143500.0,261384.0
20161215,142000.0,143000.0,141000.0,142000.0,285737.0
20161216,141000.0,142000.0,139000.0,139500.0,523767.0
20161219,140000.0,142500.0,139500.0,142000.0,293868.0
20161220,141500.0,144000.0,141500.0,143500.0,399511.0
20161221,144500.0,144500.0,142500.0,143500.0,310188.0
20161222,143000.0,143000.0,141000.0,142000.0,334338.0
20161223,143000.0,144000.0,142000.0,144000.0,357914.0
20161226,143500.0,145000.0,143500.0,144500.0,206099.0
20161227,144500.0,145000.0,144000.0,144500.0,337224.0
20161228,142500.0,144000.0,141500.0,143500.0,377265.0
20161229,142500.0,146000.0,142000.0,146000.0,381283.0
20170102,146000.0,150500.0,145500.0,150000.0,545854.0
20170103,151000.0,154000.0,150000.0,153000.0,723246.0
20170104,152500.0,155000.0,152000.0,154000.0,601826.0
20170105,154000.0,154500.0,152000.0,153500.0,391604.0
20170106,152000.0,153000.0,149500.0,151000.0,366091.0
20170109,151000.0,151500.0,149500.0,150500.0,325146.0
20170110,150500.0,153000.0,150500.0,152000.0,411333.0
20170111,150500.0,150500.0,147500.0,148500.0,675973.0
20170112,148000.0,151000.0,147500.0,148000.0,433867.0
20170113,149000.0,150000.0,148500.0,149000.0,293211.0
20170116,148500.0,151000.0,148500.0,150500.0,316413.0
20170117,150000.0,154000.0,149500.0,153500.0,487662.0
20170118,153000.0,155500.0,151000.0,154000.0,395088.0
20170119,153000.0,153500.0,151000.0,152000.0,255111.0
20170120,150500.0,153500.0,150000.0,153000.0,310228.0
20170123,151500.0,152000.0,148500.0,149000.0,424036.0
20170124,149500.0,149500.0,145500.0,146500.0,518186.0
20170125,146500.0,147500.0,141500.0,142000.0,749465.0
20170126,143500.0,143500.0,139500.0,142500.0,632413.0
20170131,141500.0,142500.0,139000.0,139500.0,574213.0
20170201,140000.0,141000.0,139000.0,139500.0,446549.0
20170202,140000.0,140000.0,135500.0,136000.0,610731.0
20170203,136500.0,139000.0,136000.0,137500.0,453051.0
20170206,139000.0,139500.0,136000.0,136500.0,293891.0
20170207,138000.0,140000.0,137500.0,139000.0,395508.0
20170208,138500.0,139500.0,137000.0,139000.0,415346.0
20170209,139500.0,141000.0,137500.0,140000.0,513611.0
20170210,141000.0,141500.0,139000.0,141000.0,330000.0
20170213,141500.0,141500.0,139000.0,139500.0,320997.0
20170214,140000.0,140500.0,139500.0,140000.0,295126.0
20170215,141500.0,146500.0,141500.0,145500.0,682399.0
20170216,146500.0,151500.0,146500.0,150500.0,991329.0
20170217,149500.0,151000.0,148000.0,150500.0,484244.0
20170220,149500.0,151000.0,149500.0,150000.0,239916.0
20170221,150000.0,151500.0,149000.0,151000.0,324845.0
20170222,150000.0,151000.0,147000.0,149500.0,423978.0
20170223,150500.0,150500.0,145000.0,146000.0,790326.0
20170224,147000.0,148500.0,146500.0,148000.0,248236.0
20170227,148500.0,149000.0,146500.0,148500.0,183801.0
20170228,148500.0,150000.0,146500.0,149500.0,476960.0
20170302,149000.0,150500.0,148500.0,148500.0,660227.0
20170303,147000.0,148000.0,141000.0,142000.0,774281.0
20170306,141500.0,145000.0,140000.0,145000.0,568168.0
20170307,143000.0,146000.0,143000.0,144000.0,361237.0
20170308,144000.0,144500.0,141500.0,144500.0,430524.0
20170309,144500.0,145500.0,143500.0,145000.0,516356.0
20170310,145000.0,146500.0,143500.0,146000.0,418788.0
20170313,145500.0,147000.0,145000.0,146000.0,346033.0
20170314,147000.0,149500.0,146500.0,149000.0,402984.0
20170315,148500.0,149500.0,147500.0,149500.0,415972.0
20170316,151500.0,152500.0,149000.0,151500.0,511511.0
20170317,152500.0,152500.0,150000.0,151500.0,384871.0
20170320,152500.0,157000.0,151500.0,156500.0,753898.0
20170321,158000.0,171000.0,157500.0,170000.0,2100147.0
20170322,167500.0,170500.0,165500.0,170000.0,1095061.0
20170323,168500.0,169000.0,165000.0,165000.0,786599.0
20170324,164000.0,167000.0,162000.0,164000.0,619369.0
20170327,162000.0,163000.0,159000.0,162000.0,556569.0
20170328,162000.0,163000.0,158500.0,160000.0,528384.0
20170329,159500.0,160500.0,155500.0,156000.0,594310.0
20170330,156500.0,160000.0,156500.0,158500.0,541928.0
20170331,159500.0,160500.0,156000.0,157500.0,518427.0
20170403,156500.0,157000.0,153000.0,156500.0,568863.0
20170404,154000.0,155000.0,150000.0,152000.0,693275.0
20170405,152500.0,152500.0,147000.0,150000.0,738030.0
20170406,149500.0,150000.0,147500.0,148000.0,543682.0
20170407,148000.0,149500.0,144000.0,144500.0,814773.0
20170410,145000.0,147500.0,144500.0,146000.0,372373.0
20170411,145000.0,145000.0,142500.0,142500.0,460813.0
20170412,143000.0,144500.0,141500.0,141500.0,467523.0
20170413,143000.0,144500.0,141000.0,142500.0,537212.0
20170414,141500.0,143000.0,141000.0,142500.0,235481.0
20170417,142500.0,144000.0,141000.0,144000.0,354807.0
20170418,144500.0,144500.0,141000.0,141000.0,512212.0
20170419,140000.0,140500.0,136500.0,137000.0,1028582.0
20170420,137000.0,142000.0,137000.0,141500.0,837678.0
20170421,142000.0,143000.0,141000.0,141500.0,520179.0
